1,abandon,/??'b??nd??n/ n. Syn. relinquish,??'b??nd??n, n, Syn, relinquish,lacking restraint or control; feeling of extreme emotional intensity; unbounded enthusiasm
2,abash,/??'b????/ v. Syn. embarrass,??'b????, v, Syn, embarrass,embarrass; make ashamed or uneasy; disconcert
3,abdicate,/'??bd??ke??t/ v. Syn. renounce,'??bd??ke??t, v, Syn, renounce,"give up, renounce, abandon, lay down, or withdraw from, as a right or claim"
4,abet,/??'b??t/ v. Syn. encourage,??'b??t, v, Syn, encourage,"aid, usually in doing something wrong; encourage"
5,abridge,/??'br??d??/ v. Syn. condense; shorten,??'br??d??, v, Syn, condense; shorten,condense; shorten; reduce length of written text
6,abrogate,/'??bro??ge??t/ a. Syn. abolish,'??bro??ge??t, a, Syn, abolish,"abolish, do away with, or annul, especially by authority"
7,abstemious,/??b'sti:m????s/ a. Syn. temperate,??b'sti:m????s, a, Syn, temperate,sparing or moderation in eating and drinking; temperate
8,academic,/??k??'d??m??k/ a. Syn. scholarly; collegiate; theoretical,??k??'d??m??k, a, Syn, scholarly; collegiate; theoretical,related to school; not practical or directly useful; relating to scholarly organization; based on formal education
9,accede,/??k'si:d/ v. Syn. agree; assent; concede,??k'si:d, v, Syn, agree; assent; concede,"agree; give consent, often at insistence of another; concede"
10,accelerate,/??k's??l??re??t/ v. Syn. speed; hasten,??k's??l??re??t, v, Syn, speed; hasten,move faster; cause to develop or progress more quickly; occur sooner than expected
11,accolade,/'??k??le??d/ n. Syn. praise,'??k??le??d, n, Syn, praise,award of merit; expression of approval; praise
12,accord,/??'k??:d/ n. Syn. agreement; treaty,??'k??:d, n, Syn, agreement; treaty,settlement or compromise of conflicting opinions; written agreement between two states
13,acrimonious,/??kr??'mo??n????s/ a. Syn. rancorous,??kr??'mo??n????s, a, Syn, rancorous,"bitter and sharp in language, tone, or manner"
14,acumen,"/'??kj??m??n, ??'kju:m??n/ n. Syn. acuteness; insight","'??kj??m??n, ??'kju:m??n", n, Syn, acuteness; insight,mental keenness; quickness of perception
15,admonish,/??d'm??n????/ v. Syn. warn; reprove,??d'm??n????, v, Syn, warn; reprove,warn; counsel someone against something to be avoided
16,admonition,/??dm??'n????(??)n/ n. Syn. warning,??dm??'n????(??)n, n, Syn, warning,gentle or friendly reproof; counseling against fault or oversight; warning
17,adversary,/'??dv??s??r??/ n. Syn. opponent; contestant,'??dv??s??r??, n, Syn, opponent; contestant,opponent in contest; someone who offers opposition
18,adverse,/'??dv??rs/ a. Syn. unfavorable; hostile,'??dv??rs, a, Syn, unfavorable; hostile,in opposing direction; harmful or unfavorable; acting or serving to oppose
19,adversity,/??d'v??rs??t??/ n. Syn. poverty; misfortune,??d'v??rs??t??, n, Syn, poverty; misfortune,"state of misfortune, hardship, or affliction; misfortune"
20,aesthetic,/i:s'????t??k/ a. Syn. artistic; elegant,i:s'????t??k, a, Syn, artistic; elegant,elegant or tasteful; of or concerning appreciation of beauty or good taste
21,affable,/'??f??b(??)l/ a.??,'??f??b(??)l, a,??,,easily approachable; warmly friendly
22,affluent,/'??fl????nt/ a.??,'??fl????nt, a,??,,having an abundant supply of money or possessions of value
23,aggressive,/'??gr??s??v/ a.??,'??gr??s??v, a,??,,making assaults; unjustly attacking; combative; hostile; tending to spread quickly
24,alacrity,/??'l??kr??t??/ n.??,??'l??kr??t??, n,??,,cheerful promptness or willingness; eagerness; speed or quickness
25,alienate,/'e??l????ne??t/ v. Syn. estrange; transfer; separate,'e??l????ne??t, v, Syn, estrange; transfer; separate,cause to become unfriendly or hostile; transfer property or ownership; isolate or dissociate emotionally
26,allay,/??'le??/ v. Syn. calm; pacify; relieve,??'le??, v, Syn, calm; pacify; relieve,calm; pacify; reduce the intensity of; relieve
27,allude,/??'lu:d/ v. Syn. imply; refer,??'lu:d, v, Syn, imply; refer,"refer casually or indirectly, or by suggestion"
28,allure,/??'lj????(r)/ v. Syn. entice; attract,??'lj????(r), v, Syn, entice; attract,"attract with something desirable; be highly, often subtly attractive"
29,allusion,/??'lu:??(??)n/ n. Syn. metaphor,??'lu:??(??)n, n, Syn, metaphor,indirect reference; symbolical reference or comparison; metaphor
30,ambiguous,/??m'b??gj????s/ a.??,??m'b??gj????s, a,??,,unclear or doubtful in meaning
31,amiable,/'e??m????b(??)l/ a. Syn. agreeable; lovable,'e??m????b(??)l, a, Syn, agreeable; lovable,good-natured and likable; lovable; warmly friendly
32,analogous,/??'n??l??g??s/ a. Syn. comparable,??'n??l??g??s, a, Syn, comparable,comparable; similar or alike
33,analogy,/??'n??l??d????/ n. Syn. similarity; parallelism,??'n??l??d????, n, Syn, similarity; parallelism,similarity in some respects; comparison based on similarity
34,anarchy,/'??n??k??/ n. Syn. lawlessness; disorder,'??n??k??, n, Syn, lawlessness; disorder,absence of governing body; state of disorder; political disorder and confusion
35,animus,/'??n??m??s/ n. Syn. enmity; disposition,'??n??m??s, n, Syn, enmity; disposition,feeling of enmity or ill will; attitude that informs one's actions; disposition
36,annals,/'??n(??)lz/ n. Syn. records; history,'??n(??)lz, n, Syn, records; history,chronological record of the events of successive years
37,anonymous,/??'n??n??m??s/ a. Syn. unknown; nameless,??'n??n??m??s, a, Syn, unknown; nameless,having no name; having unknown or unacknowledged name
38,anthology,/??n'????l??d????/ n. Syn. collection,??n'????l??d????, n, Syn, collection,book of literary selections by various authors
39,antithesis,/??n't??????s??s/ n. Syn. contrast,??n't??????s??s, n, Syn, contrast,contrast; direct contrast; opposition
40,apathetic,/??p??'????t??k/ a.??,??p??'????t??k, a,??,,feeling or showing a lack of interest or concern; indifferent
41,apathy,/'??p??????/ n. Syn. indifference,'??p??????, n, Syn, indifference,lack of caring; indifference
42,apprehend,/??pr??'h??nd/ v. Syn. arrest; perceive,??pr??'h??nd, v, Syn, arrest; perceive,take into custody; arrest a criminal; grasp mentally; perceive
